age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
45 - 60,Undergraduate (completed),Student,Hubli,Never,"Yes, regularly",Urban tier-2 city,4,3,4,4,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,3,4,3,3,3,52,Older,3,1,3.6,3,4,3,3.2,4.2,3.2
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,5,4,3,3,4,4,4,4,4,3,3,3,3,2,4,4,4,4,4,4,2,2,4,3,3,3,3,4,3,29,Older,3,2,4,3.6,4,2.8,4,3,3.2
35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,3,3,4,3,4,4,3,4,3,2,2,3,2,2,4,4,4,4,3,3,4,4,4,3,3,3,3,3,3,39,Older,3,3,4,3.2,3.6,2.2,3.8,3.6,3
45 - 60,Postgraduate,Employed (government),Bhopal,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,3,2,3,3,3,2,2,2,2,2,4,4,4,4,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,52,Older,4,2,2.8,2,4,3.8,3,2.8,3
18 - 24,Undergraduate (pursuing),Self-employed,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,4,4,4,5,4,5,5,5,5,4,3,4,3,3,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,21,Younger,2,4,4.2,4.8,3.4,2,5,5,4.2
25 - 34,Postgraduate,Employed (private sector),Delhi,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,5,5,5,5,3,4,3,3,4,2,2,3,2,2,4,4,4,4,4,4,4,5,5,4,4,4,4,5,4,29,Older,4,3,4,5,3.4,2.2,4,4.4,4.2
25 - 34,Postgraduate,Student,Indore,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,3,3,3,3,3,2,4,4,4,3,3,3,3,3,3,3,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,29,Older,4,3,3.8,2.8,3.6,3,3.8,3.2,4
35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,3,3,3,4,3,3,5,5,5,5,5,3,3,3,3,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,39,Older,3,3,3,3.2,5,3,4,3.8,4
18 - 24,High school/10+2,Homemaker,Bangalore,Rarely (a few times a year),"Yes, regularly",Urban metro city,3,3,4,4,3,3,2,3,3,3,5,5,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,3,5,4,3,3,21,Younger,1,2,3.4,2.8,4.4,3.2,2.8,3,3.6
35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,5,4,5,5,4,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,39,Older,3,2,3.2,3,3.2,4.6,3,2.6,2.6
25 - 34,Doctoral,Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,4,4,4,4,4,4,3,4,4,4,4,5,4,4,4,2,2,2,2,2,4,4,4,3,4,3,3,3,3,3,4,3,4,3,3,29,Older,5,5,4,3.8,4.2,2,3.8,3,3.4
25 - 34,Undergraduate (completed),Student,Bengaluru,Always (daily),No / I am unsure,Urban metro city,4,5,5,5,4,4,4,4,5,4,4,4,4,4,4,1,2,2,2,2,5,4,5,5,4,4,4,4,4,4,4,5,4,5,5,29,Older,3,5,4.6,4.2,4,1.8,4.6,4,4.6
45 - 60,High school/10+2,Homemaker,Salem,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,2,2,3,3,3,1,2,2,2,2,2,2,3,3,2,2,2,2,1,2,1,2,2,2,1,2,1,1,1,1,2,2,1,2,2,52,Older,1,2,2.6,1.8,2.4,1.8,1.6,1.2,1.8
18 - 24,Postgraduate,Homemaker,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,3,3,4,3,3,3,3,4,5,5,5,4,5,2,3,3,3,2,3,4,4,4,4,4,4,4,4,5,3,4,4,4,4,21,Younger,4,4,3.2,3.2,4.8,2.6,3.8,4.2,3.8
45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,5,4,4,4,3,4,3,3,3,4,3,3,4,3,2,3,3,3,4,4,3,3,4,3,2,2,3,3,5,5,4,5,4,52,Older,4,2,4,3.4,3.4,2.8,3.6,2.6,4.6
25 - 34,Doctoral,Self-employed,Bengaluru,Never,"Yes, but inconsistently",Urban metro city,4,4,3,4,4,4,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,4,3,4,29,Older,5,1,3.8,3.4,3.8,3,3.4,3.2,3.8
25 - 34,Undergraduate (completed),Employed (private sector),Kolkata,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,5,5,4,5,5,4,4,4,4,3,2,2,2,2,2,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,29,Older,3,3,4,4.8,3.8,2,5,4.6,5
35 - 44,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,4,3,3,3,3,3,5,5,5,5,5,2,2,2,2,2,4,4,4,4,3,4,4,3,3,4,4,4,4,3,3,39,Older,3,3,3.2,3,5,2,3.8,3.6,3.6
45 - 60,Postgraduate,Employed (private sector),Bengaluru,Often (weekly),No / I am unsure,Urban metro city,3,3,4,3,3,3,3,3,3,3,4,4,4,4,4,3,3,2,3,2,4,4,3,3,5,3,4,3,2,2,4,4,4,4,4,52,Older,4,4,3.2,3,4,2.6,3.8,2.8,4
35 - 44,Undergraduate (completed),Student,Vadodara,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,3,3,3,3,3,3,2,2,4,4,4,3,4,3,3,3,3,3,4,4,5,4,4,3,4,2,3,3,3,4,4,4,3,39,Older,3,2,3.4,2.6,3.8,3,4.2,3,3.6
18 - 24,Undergraduate (completed),Student,Rajkot,Always (daily),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,2,2,1,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,21,Younger,3,5,4,4,4,1.4,4.4,4.2,4
18 - 24,Undergraduate (completed),Student,Hubli,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,5,4,3,3,3,2,2,2,2,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,21,Younger,3,3,3.8,2.2,4,3.8,3,2.8,3.2
25 - 34,Doctoral,Student,Guwahati,Sometimes (about once a month),"Yes, but inconsistently",Semi-urban/town,4,4,4,3,4,4,5,5,5,5,4,4,4,4,3,2,1,1,1,2,5,4,4,5,5,5,4,5,4,5,5,5,5,5,4,29,Older,5,3,3.8,4.8,3.8,1.4,4.6,4.6,4.8
Above,Doctoral,Employed (private sector),Mangalore,Always (daily),"Yes, but inconsistently",Semi-urban/town,3,4,3,3,3,3,3,2,3,3,4,5,4,4,4,4,4,3,4,4,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,65,Older,5,5,3.2,2.8,4.2,3.8,2.8,3,2.8
45 - 60,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,3,3,3,3,3,2,3,3,3,2,4,3,3,4,4,3,4,2,3,3,4,4,4,3,4,3,2,2,3,2,3,3,3,3,3,52,Older,3,2,3,2.6,3.6,3,3.8,2.4,3
45 - 60,Undergraduate (completed),Homemaker,Rajkot,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,2,2,2,2,2,2,3,3,3,4,3,4,2,3,3,3,2,3,3,3,3,4,1,2,2,2,2,3,3,3,3,3,52,Older,3,3,2.6,2.2,3.4,2.6,3.2,1.8,3
35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Often (weekly),"Yes, but inconsistently",Urban metro city,4,3,4,4,4,4,4,5,5,4,4,4,4,3,4,3,2,2,3,2,4,4,4,4,5,5,5,5,5,4,5,5,5,5,5,39,Older,3,4,3.8,4.4,3.8,2.4,4.2,4.8,5
45 - 60,Postgraduate,Self-employed,Rajkot,Often (weekly),No / I am unsure,Urban tier-2 city,3,3,3,3,2,3,3,2,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,3,2,2,2,2,2,2,3,3,2,3,2,52,Older,4,4,2.8,2.8,4,4,2.6,2,2.6
18 - 24,High school/10+2,Homemaker,Delhi,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,2,2,2,2,2,2,2,2,3,2,2,1,2,2,2,3,2,2,3,3,3,2,2,1,2,2,2,2,2,2,1,2,21,Younger,1,3,2.6,2,2,2.2,2.6,1.8,1.8
45 - 60,Postgraduate,Employed (private sector),Pune,Sometimes (about once a month),No / I am unsure,Urban metro city,4,3,4,4,4,4,4,3,3,3,4,4,4,4,4,2,3,3,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,3,52,Older,4,3,3.8,3.4,4,2.8,4,3.2,3
35 - 44,Undergraduate (completed),Employed (private sector),Rajkot,Often (weekly),"Yes, regularly",Urban tier-2 city,4,5,4,4,5,5,5,5,5,4,3,3,3,3,3,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,39,Older,3,4,4.4,4.8,3,2.2,4,4,4.2
25 - 34,Doctoral,Employed (government),Thiruvananthapuram,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,5,4,5,4,5,3,4,3,3,3,2,2,2,2,2,5,5,5,4,4,5,5,5,5,5,5,4,5,4,4,29,Older,5,2,4,4.6,3.2,2,4.6,5,4.4
45 - 60,High school/10+2,Homemaker,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,2,2,3,3,3,2,3,4,3,4,3,2,2,2,3,2,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,52,Older,1,3,2.8,2.6,3.4,2.2,3.2,2.6,3
25 - 34,Undergraduate (completed),Homemaker,Nagpur,Never,"Yes, regularly",Urban tier-2 city,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,3,3,4,3,4,3,4,4,3,4,3,4,4,29,Older,3,1,3.2,3,3.8,3,3.6,3.6,3.6
25 - 34,Undergraduate (completed),Self-employed,Kochi,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,4,4,4,4,4,4,3,4,3,3,5,4,5,5,5,2,3,3,2,3,4,4,3,4,4,3,4,4,3,3,4,4,4,4,4,29,Older,3,2,4,3.4,4.8,2.6,3.8,3.4,4
35 - 44,Doctoral,Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,4,4,4,3,3,4,3,3,3,3,4,4,4,4,5,4,4,4,3,2,2,3,3,3,3,3,3,2,3,3,3,2,3,39,Older,5,2,4,3.2,3.6,4.2,2.6,2.8,2.8
18 - 24,Undergraduate (pursuing),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,3,3,3,3,3,4,4,3,3,4,4,4,4,4,2,3,3,2,3,3,3,3,4,4,3,3,4,3,3,4,4,4,4,3,21,Younger,2,2,3.2,3.4,4,2.6,3.4,3.2,3.8
45 - 60,Postgraduate,Employed (private sector),Bengaluru,Always (daily),"Yes, regularly",Urban metro city,3,3,3,3,3,3,3,3,2,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,4,3,3,3,3,3,4,4,3,4,3,52,Older,4,5,3,2.8,3.6,3,3.6,3,3.6
35 - 44,Undergraduate (pursuing),Homemaker,Rajkot,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,3,5,4,4,3,3,3,3,3,3,3,3,3,2,5,4,3,5,4,3,3,4,4,4,3,3,2,3,2,3,3,3,4,3,39,Older,2,3,4,3,2.8,4.2,3.6,2.6,3.2
18 - 24,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,4,3,3,3,3,4,4,5,5,4,5,5,3,2,2,3,2,4,4,3,4,4,3,4,3,3,3,3,3,3,4,3,21,Younger,4,3,3.2,3.4,4.8,2.4,3.8,3.2,3.2
45 - 60,Doctoral,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,3,3,4,3,3,3,3,2,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,4,5,4,52,Older,5,2,3.4,2.8,3.8,3,3,2.8,4
45 - 60,Postgraduate,Unemployed,Meerut,Never,No / I am unsure,Semi-urban/town,2,2,2,2,1,2,1,2,2,2,3,2,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,52,Older,4,1,1.8,1.8,2.8,2.2,2,2,1.8
Above,Undergraduate (completed),Employed (private sector),Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,4,3,3,3,3,3,3,3,5,4,5,5,5,3,2,2,3,2,3,3,4,4,4,4,3,3,3,4,4,4,4,4,3,65,Older,3,4,3.2,3,4.8,2.4,3.6,3.4,3.8
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Always (daily),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,2,2,2,1,2,5,5,5,5,5,4,4,4,4,3,5,5,5,5,5,21,Younger,2,5,5,4,4,1.8,5,3.8,5
35 - 44,Undergraduate (completed),Employed (government),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,3,4,4,3,3,3,3,3,4,3,4,4,4,3,4,3,2,3,4,4,4,4,4,4,4,3,4,4,3,3,4,3,3,39,Older,3,2,3.8,3,3.8,3,4,3.8,3.2
35 - 44,Doctoral,Student,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,3,3,4,4,3,3,4,4,4,5,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,4,3,4,3,39,Older,5,4,3.4,3.6,4.2,3,4,3,3.4
35 - 44,Postgraduate,Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,3,4,3,2,3,3,3,2,4,5,4,4,4,1,2,2,2,2,5,4,5,5,5,3,4,3,3,3,3,4,4,3,4,39,Older,4,2,3.4,2.6,4.2,1.8,4.8,3.2,3.6
25 - 34,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,5,5,5,5,5,4,4,3,4,4,4,2,2,2,2,2,4,5,4,5,4,5,5,5,5,5,4,4,5,5,5,29,Older,3,3,4.2,4.8,3.8,2,4.4,5,4.6
45 - 60,Undergraduate (completed),Employed (private sector),Chandigarh,Never,"Yes, but inconsistently",Urban tier-2 city,2,3,2,2,2,2,3,2,3,2,2,3,2,3,3,1,2,2,2,3,2,2,3,3,2,2,2,2,2,1,2,2,1,2,2,52,Older,3,1,2.2,2.4,2.6,2,2.4,1.8,1.8
25 - 34,Undergraduate (completed),Employed (government),Lucknow,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,3,4,4,4,3,5,4,4,4,5,4,4,4,4,4,2,3,3,2,2,3,4,3,3,4,3,3,3,3,3,29,Older,3,3,3,3.6,4.4,4,2.4,3.4,3
25 - 34,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,2,3,4,3,3,3,4,3,3,3,3,3,4,3,3,4,4,29,Older,4,3,4,3.2,4,2.8,3.4,3,3.6
45 - 60,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,3,4,4,3,3,3,3,4,3,5,4,4,4,4,2,2,2,3,3,4,4,5,4,4,4,4,4,4,4,4,3,3,3,3,52,Older,3,2,3.6,3.2,4.2,2.4,4.2,4,3.2
35 - 44,Postgraduate,Employed (private sector),Kozhikode,Always (daily),No / I am unsure,Urban tier-2 city,3,3,3,3,4,5,5,5,5,5,3,4,3,3,3,2,2,2,3,2,4,5,4,5,4,4,4,4,4,4,4,4,4,5,5,39,Older,4,5,3.2,5,3.2,2.2,4.4,4,4.4
45 - 60,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,2,3,3,2,3,2,2,2,2,1,3,4,4,4,4,4,3,2,3,3,2,3,2,2,3,3,2,3,2,3,2,3,2,2,3,52,Older,3,2,2.6,1.8,3.8,3,2.4,2.6,2.4
35 - 44,Postgraduate,Employed (government),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,4,3,3,4,3,4,4,3,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4,3,3,2,3,3,4,3,3,3,3,39,Older,4,3,3.2,3.6,5,2,4,2.8,3.2
Above,Undergraduate (completed),Unemployed,Chennai,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,3,2,2,3,2,1,2,2,2,4,5,5,5,5,3,3,3,2,3,2,3,3,4,3,3,3,3,3,2,3,2,3,3,3,65,Older,3,2,2.6,1.8,4.8,2.8,3,2.8,2.8
25 - 34,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,5,5,5,5,5,4,4,4,5,5,4,4,4,4,3,2,2,1,2,2,4,5,5,5,5,4,4,5,4,5,5,5,4,5,5,29,Older,4,3,5,4.4,3.8,1.8,4.8,4.4,4.8
25 - 34,Undergraduate (pursuing),Homemaker,Ahmedabad,Often (weekly),"Yes, but inconsistently",Urban metro city,4,5,5,5,5,5,5,4,5,5,4,4,4,4,4,2,1,2,2,2,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,29,Older,2,4,4.8,4.8,4,1.8,4,4,5
35 - 44,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,4,4,4,4,4,4,5,5,5,5,3,4,3,3,3,2,2,2,2,2,4,5,4,4,4,5,5,4,5,4,4,4,4,4,5,39,Older,4,3,4,4.8,3.2,2,4.2,4.6,4.2
35 - 44,Undergraduate (pursuing),Employed (private sector),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,5,4,4,4,4,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,39,Older,2,3,4,3,3.6,4.2,3.2,3,2.6
25 - 34,Undergraduate (completed),Self-employed,Madurai,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,4,4,4,3,4,3,3,3,4,3,3,3,3,3,4,5,4,5,5,4,3,3,3,2,3,2,2,2,3,2,3,2,3,3,3,29,Older,3,2,3.8,3.2,3.2,4.6,2.8,2.2,2.8
35 - 44,Undergraduate (completed),Unemployed,Bengaluru,Always (daily),"Yes, but inconsistently",Urban metro city,5,4,4,5,4,4,4,4,4,4,4,4,3,4,4,2,2,2,2,2,4,4,4,3,4,5,5,5,4,4,4,4,4,4,4,39,Older,3,5,4.4,4,3.8,2,3.8,4.6,4
18 - 24,Undergraduate (pursuing),Student,Chennai,Often (weekly),"Yes, but inconsistently",Urban metro city,5,5,4,5,4,4,4,4,4,5,4,4,4,5,4,2,2,2,2,1,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,21,Younger,2,4,4.6,4.2,4.2,1.8,5,4.4,4.8
25 - 34,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,4,3,3,4,3,3,3,4,4,4,5,4,5,29,Older,3,3,3,3,3.8,3,3.2,3.4,4.4
25 - 34,Postgraduate,Self-employed,Mumbai,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,4,4,4,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,29,Older,4,2,4,5,3,2,4.8,4,4
Above,Undergraduate (completed),Employed (government),Bengaluru,Often (weekly),"Yes, but inconsistently",Urban metro city,3,4,3,2,3,3,3,2,2,1,4,4,4,4,3,3,3,2,3,2,4,2,3,3,3,2,2,2,2,3,2,3,3,3,3,65,Older,3,4,3,2.2,3.8,2.6,3,2.2,2.8
35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,3,3,4,3,2,5,5,5,4,3,2,3,3,2,3,3,5,4,4,4,4,4,4,3,3,4,4,3,3,4,39,Older,3,2,3.8,3,4.4,2.6,4,3.6,3.6
18 - 24,Undergraduate (pursuing),Employed (private sector),Bengaluru,Often (weekly),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,2,2,1,2,2,4,4,4,4,4,5,4,4,5,5,5,5,5,5,5,21,Younger,2,4,4,4.8,4,1.8,4,4.6,5
25 - 34,High school/10+2,Homemaker,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,3,3,3,4,3,3,3,4,4,4,4,3,4,3,3,3,3,4,29,Older,1,2,4,3.4,3.8,3,3.4,3.8,3.2
45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,4,4,4,4,52,Older,4,2,3.8,3.8,4,3,3.2,3,4
35 - 44,Undergraduate (completed),Employed (private sector),Ranchi,Always (daily),"Yes, but inconsistently",Semi-urban/town,4,3,4,3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,4,5,4,4,4,3,3,3,3,3,3,3,4,4,3,3,39,Older,3,5,3.6,3.2,3.2,3.2,4,3,3.4
45 - 60,Undergraduate (completed),Homemaker,Mangalore,Often (weekly),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,1,2,3,3,2,4,4,4,4,4,2,3,2,2,1,3,3,3,3,3,3,2,3,3,2,2,1,1,1,1,52,Older,3,4,4,2.2,4,2,3,2.6,1.2
18 - 24,Postgraduate,Employed (government),Jaiour,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,5,5,4,5,5,5,4,4,3,4,4,2,2,2,3,2,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,21,Younger,4,2,4.2,4.8,3.8,2.2,4,4.2,4.2
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,3,3,3,3,3,4,4,4,4,3,3,4,3,3,3,2,3,2,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4,29,Older,3,2,3.4,3.6,3.4,2.6,3.8,3.2,3.6
Above,Doctoral,Employed (government),Bengaluru,Often (weekly),No / I am unsure,Urban metro city,4,3,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,4,3,4,3,3,3,4,4,4,3,3,4,4,4,4,4,65,Older,5,4,3.6,3,4,3.2,3.2,3.6,4
18 - 24,Doctoral,Employed (government),Varanasi,Always (daily),"Yes, regularly",Semi-urban/town,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,1,2,2,2,2,4,4,5,5,5,4,5,4,5,4,5,5,5,5,5,21,Younger,5,5,4.8,5,4,1.8,4.6,4.4,5
35 - 44,Postgraduate,Employed (government),Surat,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,3,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,5,4,4,3,2,3,2,3,3,2,3,3,3,3,3,3,4,3,39,Older,4,4,2.8,3,4,4.2,2.6,2.8,3.2
18 - 24,Undergraduate (completed),Homemaker,Delhi,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,5,4,4,4,5,4,4,4,4,4,4,1,2,1,2,2,4,5,5,5,4,4,4,4,4,4,5,4,5,5,5,21,Younger,3,5,4.8,4.2,4,1.6,4.6,4,4.8
Above,Undergraduate (completed),Self-employed,Chandigarh,Rarely (a few times a year),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,1,1,1,2,4,3,4,4,3,2,1,2,2,1,2,3,3,3,3,3,3,2,2,3,2,2,3,3,2,65,Older,3,2,3,1.4,3.6,1.6,2.8,2.6,2.4
45 - 60,Postgraduate,Employed (private sector),Mysuru,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,2,3,3,3,3,3,3,4,3,4,5,4,5,4,5,2,3,3,3,3,4,3,3,3,3,3,3,3,4,3,52,Older,4,2,4,2.8,3.4,4.6,2.8,3.2,3.2
18 - 24,Undergraduate (pursuing),Employed (private sector),Jodhpur,Always (daily),"Yes, regularly",Semi-urban/town,5,5,4,5,5,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,2,2,2,2,1,5,5,5,4,5,4,5,5,4,4,21,Younger,2,5,4.8,4,3.8,3.8,1.8,4.8,4.4
35 - 44,Postgraduate,Unemployed,Thrissur,Rarely (a few times a year),No / I am unsure,Urban tier-2 city,4,4,3,3,4,3,3,4,4,3,3,3,3,4,4,4,4,3,4,3,4,4,3,4,4,3,3,3,3,3,3,3,3,3,2,39,Older,4,2,3.6,3.4,3.4,3.6,3.8,3,2.8
Above,High school/10+2,Homemaker,Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,2,3,2,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,3,2,2,2,1,2,2,3,3,4,3,3,4,3,3,4,4,65,Older,1,2,2.4,2,2.6,2.2,1.8,3.2,3.6
