age,education,occupation,city,prior_recycling,infrastructure,area_type,EC1,EC2,EC3,EC4,EC5,AW1,AW2,AW3,AW4,AW5,FI1,FI2,FI3,FI4,FI5,PC1,PC2,PC3,PC4,PC5,ATT1,ATT2,ATT3,ATT4,ATT5,PBC1,PBC2,PBC3,PBC4,PBC5,RI1,RI2,RI3,RI4,RI5,age_num,age_split,edu_num,prior_recycling_num,EC_mean,AW_mean,FI_mean,PC_mean,ATT_mean,PBC_mean,RI_mean
35 - 44,Postgraduate,Employed (government),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,3,4,4,4,3,3,3,3,5,4,5,5,4,3,2,3,2,2,3,4,4,3,4,3,3,4,3,3,4,3,3,4,4,39,Older,4,2,3.6,3.2,4.6,2.4,3.6,3.2,3.6
45 - 60,Postgraduate,Employed (government),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,4,4,3,3,3,3,3,2,3,4,5,5,5,5,3,3,3,3,3,3,3,3,2,3,4,3,4,3,3,4,4,4,4,3,52,Older,4,2,3.4,2.8,4.8,3,2.8,3.4,3.8
45 - 60,Undergraduate (completed),Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,4,3,3,4,3,3,3,3,2,5,5,5,5,5,3,3,3,3,3,3,3,3,3,2,4,4,4,3,4,4,3,4,4,4,52,Older,3,3,3.4,2.8,5,3,2.8,3.8,3.8
18 - 24,Doctoral,Employed (private sector),Pune,Always (daily),"Yes, but inconsistently",Urban metro city,5,5,5,5,5,4,5,5,4,5,4,4,4,4,4,2,2,2,2,2,5,4,5,5,5,4,4,3,4,4,4,4,4,5,4,21,Younger,5,5,5,4.6,4,2,4.8,3.8,4.2
18 - 24,Undergraduate (completed),Self-employed,Patna,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,3,4,4,4,3,3,3,4,3,3,5,5,4,4,5,3,2,2,2,3,3,4,3,3,3,4,4,4,3,3,5,4,4,4,4,21,Younger,3,4,3.6,3.2,4.6,2.4,3.2,3.6,4.2
18 - 24,Postgraduate,Student,Vijayawada,Often (weekly),"Yes, regularly",Urban tier-2 city,5,4,4,5,5,4,4,4,4,4,4,4,4,5,4,2,2,2,1,2,4,5,4,5,4,4,4,4,4,4,5,4,5,5,5,21,Younger,4,4,4.6,4,4.2,1.8,4.4,4,4.8
35 - 44,Doctoral,Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,3,3,4,3,3,3,4,3,3,4,4,2,2,2,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,3,4,39,Older,5,3,3,3.2,3.6,2.4,3.6,3.6,3.4
45 - 60,Undergraduate (completed),Employed (government),Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,3,3,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,4,4,3,3,4,3,2,3,3,3,3,4,3,4,3,52,Older,3,3,3.2,3,3.4,3,3.6,2.8,3.4
45 - 60,Undergraduate (completed),Employed (government),Bangalore,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,3,4,3,3,3,3,3,3,4,4,5,5,4,2,2,1,2,2,4,4,4,4,5,3,3,3,3,3,3,3,2,3,4,52,Older,3,3,3.6,3,4.4,1.8,4.2,3,3
25 - 34,Postgraduate,Employed (private sector),Chandigarh,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,2,3,2,2,3,2,2,3,2,2,3,2,3,2,3,29,Older,4,3,4.2,3,3,4.4,2.4,2.2,2.6
25 - 34,Undergraduate (completed),Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,3,3,2,3,3,4,3,4,3,3,3,3,4,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,4,3,29,Older,3,3,3.8,2.8,3.4,3.2,3.8,3.6,3.4
35 - 44,Undergraduate (completed),Student,Kolkata,Never,No / I am unsure,Urban metro city,3,4,3,4,4,3,4,3,2,3,4,3,4,4,3,5,4,4,4,4,3,3,4,3,4,3,2,2,3,3,3,2,3,2,3,39,Older,3,1,3.6,3,3.6,4.2,3.4,2.6,2.6
35 - 44,Postgraduate,Homemaker,Ranchi,Always (daily),No / I am unsure,Semi-urban/town,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,2,1,2,2,2,5,5,5,5,5,4,4,5,4,4,5,5,5,5,4,39,Older,4,5,5,4.4,4,1.8,5,4.2,4.8
35 - 44,Undergraduate (completed),Employed (private sector),Vijayawada,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,3,3,4,4,4,3,4,4,4,4,5,3,4,3,3,3,2,2,3,2,4,4,4,4,4,3,3,3,3,3,4,4,3,3,4,39,Older,3,3,3.6,3.8,3.6,2.4,4,3,3.6
25 - 34,Undergraduate (completed),Employed (private sector),Jaipur,Often (weekly),No / I am unsure,Urban tier-2 city,3,4,4,3,4,3,3,3,3,3,4,5,4,5,5,2,2,3,3,2,4,3,4,4,4,3,4,3,2,3,4,4,4,4,4,29,Older,3,4,3.6,3,4.6,2.4,3.8,3,4
Above,Undergraduate (completed),Homemaker,Guwahati,Rarely (a few times a year),"Yes, but inconsistently",Semi-urban/town,4,5,4,4,4,2,2,2,3,2,3,3,3,4,4,3,5,4,4,4,3,4,3,4,3,3,3,3,3,3,2,3,2,3,3,65,Older,3,2,4.2,2.2,3.4,4,3.4,3,2.6
45 - 60,Undergraduate (completed),Self-employed,Pune,Sometimes (about once a month),No / I am unsure,Urban metro city,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,3,2,3,3,2,4,4,4,3,4,3,3,4,3,3,3,3,4,4,4,52,Older,3,3,3.6,3.6,4,2.6,3.8,3.2,3.6
45 - 60,Undergraduate (completed),Homemaker,Rajkot,Always (daily),"Yes, but inconsistently",Urban tier-2 city,4,5,4,3,4,3,3,3,4,4,4,5,4,5,4,2,3,2,3,3,4,4,3,4,3,2,3,3,3,3,4,4,4,3,4,52,Older,3,5,4,3.4,4.4,2.6,3.6,2.8,3.8
25 - 34,Undergraduate (pursuing),Unemployed,Mumbai,Never,"Yes, but inconsistently",Urban metro city,2,2,4,2,3,2,2,2,2,2,2,1,2,2,2,1,2,2,1,1,3,3,2,2,2,2,2,2,2,1,2,2,2,1,2,29,Older,2,1,2.6,2,1.8,1.4,2.4,1.8,1.8
35 - 44,Postgraduate,Employed (private sector),Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,3,3,3,3,4,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,39,Older,4,3,3.2,3.2,3.4,3,3.6,3.6,3.8
18 - 24,Doctoral,Unemployed,Mumbai,Always (daily),"Yes, regularly",Urban metro city,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,4,5,4,5,5,4,4,4,4,4,5,4,5,5,4,21,Younger,5,5,4.4,4,4,2,4.6,4,4.6
18 - 24,Undergraduate (pursuing),Student,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,2,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,21,Younger,2,2,4,3,4,2.8,4,3,4
45 - 60,Undergraduate (completed),Employed (government),Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,3,4,4,2,1,2,1,1,4,5,4,4,5,3,3,3,3,3,3,2,3,3,4,2,2,2,3,3,2,2,2,3,2,52,Older,3,2,3.8,1.4,4.4,3,3,2.4,2.2
35 - 44,Postgraduate,Unemployed,Kozhikode,Always (daily),"Yes, regularly",Urban tier-2 city,4,4,5,5,4,4,4,4,4,4,4,4,3,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,5,5,5,4,5,5,39,Older,4,5,4.4,4,3.8,2,4,4.2,4.8
45 - 60,Undergraduate (completed),Self-employed,Thiruvananthapuram,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,1,2,1,1,1,2,1,1,2,1,52,Older,3,3,1.8,1.8,2,2.2,2.4,1.2,1.4
35 - 44,Postgraduate,Employed (government),Kozhikode,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,4,4,4,4,4,5,5,5,5,4,4,3,3,4,2,3,2,2,2,4,4,4,5,5,5,4,5,5,5,4,4,4,4,4,39,Older,4,3,4,4.8,3.6,2.2,4.4,4.8,4
25 - 34,Undergraduate (completed),Employed (government),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,2,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,2,2,1,2,2,2,2,3,2,2,2,29,Older,3,2,2.4,2,2.4,2,2.4,1.8,2.2
35 - 44,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,2,3,3,4,4,2,2,3,2,2,4,3,5,4,4,4,5,5,4,5,4,4,3,4,4,3,3,3,3,4,3,4,4,4,3,39,Older,4,2,3.2,2.2,4,4.6,3.8,3.2,3.6
35 - 44,Undergraduate (completed),Employed (government),Bengaluru,Never,"Yes, regularly",Urban metro city,3,4,3,3,3,3,3,4,3,3,4,4,4,3,3,2,2,2,3,2,4,4,3,4,4,4,4,4,4,4,3,2,2,2,2,39,Older,3,1,3.2,3.2,3.6,2.2,3.8,4,2.2
25 - 34,Postgraduate,Self-employed,Mangaluru,Never,"Yes, regularly",Urban tier-2 city,3,3,3,3,4,3,2,2,3,2,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4,2,2,3,3,3,3,3,4,3,3,29,Older,4,1,3.2,2.4,3.8,3.8,3.8,2.6,3.2
25 - 34,Undergraduate (pursuing),Student,Varanasi,Often (weekly),No / I am unsure,Semi-urban/town,4,4,4,4,4,2,3,3,4,3,4,4,4,4,4,2,3,3,3,3,4,3,3,4,4,4,3,4,4,3,4,3,3,4,3,29,Older,2,4,4,3,4,2.8,3.6,3.6,3.4
18 - 24,Undergraduate (completed),Employed (private sector),Bhopal,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,4,5,4,4,4,4,4,5,4,4,4,4,4,3,2,2,2,2,2,5,4,5,4,4,5,4,5,5,4,5,5,5,5,5,21,Younger,3,3,4.2,4.2,3.8,2,4.4,4.6,5
25 - 34,Postgraduate,Employed (government),Kolkata,Never,"Yes, but inconsistently",Urban metro city,4,4,4,4,4,3,3,3,4,3,4,5,5,5,5,3,4,3,2,3,3,4,3,3,3,3,2,3,3,3,4,5,4,4,4,29,Older,4,1,4,3.2,4.8,3,3.2,2.8,4.2
45 - 60,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,3,3,4,3,3,3,3,2,3,2,4,3,5,4,5,2,2,3,3,2,3,4,3,3,5,3,3,2,2,2,3,3,3,4,4,52,Older,3,2,3.2,2.6,4.2,2.4,3.6,2.4,3.4
18 - 24,Doctoral,Student,Bengaluru,Always (daily),"Yes, regularly",Urban metro city,5,5,4,5,4,4,5,4,5,4,3,3,3,3,3,2,2,2,2,2,4,4,5,5,4,5,5,5,5,5,5,4,5,5,4,21,Younger,5,5,4.6,4.4,3,2,4.4,5,4.6
35 - 44,Postgraduate,Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,3,2,3,3,4,4,3,4,3,4,4,5,5,4,3,4,3,4,3,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,39,Older,4,2,3,3.6,4.4,3.4,3.6,3,3.8
45 - 60,Postgraduate,Self-employed,Varanasi,Never,"Yes, regularly",Semi-urban/town,4,4,3,3,4,2,3,3,3,3,4,4,4,4,4,3,3,3,3,2,4,4,3,3,3,2,3,3,3,3,3,4,4,4,4,52,Older,4,1,3.6,2.8,4,2.8,3.4,2.8,3.8
35 - 44,Undergraduate (completed),Employed (private sector),Coimbatore,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,3,4,4,4,3,3,4,3,4,4,3,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,39,Older,3,3,3.6,3.6,3.8,3.2,3,3,3
18 - 24,Undergraduate (completed),Employed (government),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,4,4,4,2,3,3,3,3,3,2,3,3,3,4,4,4,4,4,3,3,4,4,3,2,3,2,3,3,2,2,2,3,2,21,Younger,3,2,4,2.8,2.8,4,3.4,2.6,2.2
35 - 44,Undergraduate (completed),Self-employed,Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,3,4,4,3,5,3,3,4,3,3,4,5,4,4,4,3,2,2,3,4,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,39,Older,3,4,3.8,3.2,4.2,2.8,3.2,3.2,3.2
25 - 34,Undergraduate (completed),Homemaker,Bengaluru,Often (weekly),No / I am unsure,Urban metro city,3,3,3,3,3,4,3,4,4,4,5,5,4,5,4,4,5,5,4,4,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,29,Older,3,4,3,3.8,4.6,4.4,3,2.6,3
Above,Postgraduate,Employed (private sector),Bengaluru,Never,No / I am unsure,Urban metro city,4,3,4,3,3,3,3,4,3,3,4,4,4,4,5,3,2,3,2,2,3,4,4,3,4,3,4,4,3,3,4,3,3,4,3,65,Older,4,1,3.4,3.2,4.2,2.4,3.6,3.4,3.4
18 - 24,Doctoral,Student,Vijayawada,Often (weekly),No / I am unsure,Urban tier-2 city,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,2,2,3,2,1,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,21,Younger,5,4,4.4,4.2,4,2,5,5,4.2
35 - 44,Doctoral,Employed (private sector),Lucknow,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,3,3,4,3,3,3,3,3,3,5,5,5,5,5,3,3,3,2,2,4,4,4,4,4,3,3,3,3,3,4,3,4,4,4,39,Older,5,3,3.4,3,5,2.6,4,3,3.8
45 - 60,Postgraduate,Employed (private sector),Patna,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,2,3,4,3,3,4,4,4,4,4,52,Older,4,4,3.4,3.8,4,3,4,3,4
25 - 34,Undergraduate (pursuing),Employed (private sector),Bengaluru,Rarely (a few times a year),No / I am unsure,Urban metro city,4,5,4,4,4,3,3,4,4,4,4,4,4,4,3,3,3,2,3,4,3,4,3,3,4,3,3,3,3,3,3,3,3,4,4,29,Older,2,2,4.2,3.6,3.8,3,3.4,3,3.4
35 - 44,Postgraduate,Employed (government),Bhubaneswar,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,3,3,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,3,39,Older,4,3,2.8,3,4,4,4,3.4,3.4
45 - 60,Undergraduate (pursuing),Homemaker,Bhopal,Sometimes (about once a month),No / I am unsure,Urban tier-2 city,4,4,4,3,4,2,2,3,3,3,4,4,4,3,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,52,Older,2,3,3.8,2.6,3.8,3.4,3.6,4,3
35 - 44,Doctoral,Employed (government),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,5,5,5,5,5,5,4,5,5,5,4,4,3,4,4,2,2,2,2,2,5,4,5,4,4,4,4,5,4,4,5,5,5,5,5,39,Older,5,2,5,4.8,3.8,2,4.4,4.2,5
45 - 60,Postgraduate,Homemaker,Madurai,Sometimes (about once a month),"Yes, regularly",Urban tier-2 city,4,3,3,3,3,3,4,3,4,2,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,4,3,3,3,4,3,2,3,4,3,52,Older,4,3,3.2,3.2,4,3,3.4,3.4,3
Above,High school/10+2,Employed (government),Mangalore,Never,"Yes, but inconsistently",Urban tier-2 city,2,2,2,1,2,1,1,1,2,2,3,2,3,2,2,2,2,3,2,3,3,3,3,3,3,1,1,2,1,1,2,1,2,1,2,65,Older,1,1,1.8,1.4,2.4,2.4,3,1.2,1.6
35 - 44,Undergraduate (completed),Employed (private sector),Bhopal,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,5,4,5,4,5,4,3,4,4,2,3,4,3,2,3,2,2,2,3,3,39,Older,3,3,3.2,2.8,3,4.6,3.4,3,2.4
25 - 34,Undergraduate (completed),Employed (private sector),Bengaluru,Often (weekly),"Yes, regularly",Urban metro city,4,4,4,4,4,5,4,5,5,5,4,3,3,4,4,2,2,2,3,2,4,4,4,4,5,4,5,5,4,5,5,5,5,5,5,29,Older,3,4,4,4.8,3.6,2.2,4.2,4.6,5
35 - 44,Doctoral,Unemployed,Bengaluru,Never,No / I am unsure,Urban metro city,2,3,3,3,3,2,1,1,2,1,2,3,2,2,2,1,3,3,2,2,2,3,3,2,2,1,2,2,1,2,2,1,1,1,2,39,Older,5,1,2.8,1.4,2.2,2.2,2.4,1.6,1.4
35 - 44,Undergraduate (completed),Homemaker,Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,4,4,4,3,3,3,4,3,3,2,4,4,3,4,3,3,3,3,3,3,3,4,4,3,3,4,3,4,3,4,3,3,2,2,3,39,Older,3,2,3.6,3,3.6,3,3.4,3.6,2.6
35 - 44,Postgraduate,Homemaker,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,3,3,3,3,3,3,3,3,3,4,5,5,4,4,2,3,2,2,4,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,39,Older,4,3,3.2,3,4.4,2.6,3.8,3,3.8
18 - 24,Undergraduate (completed),Student,Hubli,Always (daily),"Yes, but inconsistently",Urban tier-2 city,5,5,5,4,5,4,4,3,4,4,4,4,4,4,3,2,2,2,2,2,4,5,5,5,5,4,5,4,4,4,4,4,5,5,4,21,Younger,3,5,4.8,3.8,3.8,2,4.8,4.2,4.4
Above,High school/10+2,Self-employed,Agra,Never,"Yes, regularly",Semi-urban/town,2,3,3,2,3,2,2,2,3,2,3,3,2,2,3,2,2,1,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,65,Older,1,1,2.6,2.2,2.6,2,1.8,2,1.6
45 - 60,Postgraduate,Self-employed,Bengaluru,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,3,4,3,3,4,3,4,4,4,3,3,3,3,2,4,4,5,4,4,3,4,4,4,3,4,3,3,4,3,52,Older,4,2,4,3.4,3.8,2.8,4.2,3.6,3.4
45 - 60,Postgraduate,Student,Kozhikode,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,4,4,5,5,5,4,4,4,4,4,3,3,3,4,4,2,2,2,2,2,4,4,5,5,5,5,5,4,5,5,5,5,4,5,5,52,Older,4,4,4.6,4,3.4,2,4.6,4.8,4.8
35 - 44,Undergraduate (completed),Employed (private sector),Bengaluru,Always (daily),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,4,4,4,4,5,4,4,5,4,4,2,2,2,2,1,5,4,4,4,5,4,5,5,5,5,4,4,4,4,4,39,Older,3,5,4,4.2,4.2,1.8,4.4,4.8,4
25 - 34,Undergraduate (completed),Employed (government),Mangalore,Rarely (a few times a year),"Yes, regularly",Urban tier-2 city,4,4,3,3,3,4,4,4,4,3,4,4,5,5,5,2,3,3,2,2,4,3,3,4,4,3,3,4,3,3,3,3,3,3,3,29,Older,3,2,3.4,3.8,4.6,2.4,3.6,3.2,3
35 - 44,High school/10+2,Self-employed,Bengaluru,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,4,4,4,3,3,4,3,4,3,4,4,4,4,4,2,3,2,3,3,4,4,4,5,4,3,3,3,3,3,4,3,4,4,4,39,Older,1,3,3.8,3.4,4,2.6,4.2,3,3.8
25 - 34,Postgraduate,Employed (government),Bengaluru,Sometimes (about once a month),"Yes, regularly",Urban metro city,3,4,3,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,3,4,3,3,3,4,3,2,3,4,4,4,4,3,29,Older,4,3,3.6,3,4,3,3.4,3,3.8
35 - 44,Undergraduate (completed),Student,Madurai,Often (weekly),No / I am unsure,Urban tier-2 city,4,4,3,4,4,2,2,2,3,3,3,4,3,3,4,4,4,4,5,4,3,3,3,3,3,2,2,3,3,3,3,3,3,3,2,39,Older,3,4,3.8,2.4,3.4,4.2,3,2.6,2.8
45 - 60,Postgraduate,Homemaker,Bengaluru,Sometimes (about once a month),No / I am unsure,Urban metro city,4,4,4,5,4,4,3,3,3,3,3,3,3,3,3,4,3,5,4,4,5,4,3,3,4,2,2,3,2,3,3,3,3,3,3,52,Older,4,3,4.2,3.2,3,4,3.8,2.4,3
35 - 44,Undergraduate (completed),Homemaker,Bengaluru (Jayanagar),Rarely (a few times a year),"Yes, regularly",Urban metro city,3,4,3,4,4,3,3,3,3,4,4,4,4,5,4,3,2,3,3,3,3,4,4,4,4,3,4,3,2,4,4,4,4,4,4,39,Older,3,2,3.6,3.2,4.2,2.8,3.8,3.2,4
35 - 44,Postgraduate,Employed (government),Lucknow,Always (daily),"Yes, regularly",Urban tier-2 city,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,39,Older,4,5,3.6,3.4,3.8,3,4,3,3
25 - 34,Postgraduate,Homemaker,Bengaluru (Whitefield),Sometimes (about once a month),No / I am unsure,Urban metro city,4,2,3,3,3,3,3,2,2,2,4,5,4,4,5,5,4,5,5,5,3,2,2,3,3,2,2,2,3,2,3,3,2,2,2,29,Older,4,3,3,2.4,4.4,4.8,2.6,2.2,2.4
45 - 60,Postgraduate,Employed (private sector),Bengaluru (HSR Layout),Often (weekly),"Yes, but inconsistently",Urban metro city,3,4,3,3,4,3,3,4,3,3,4,4,5,4,4,4,4,3,3,4,3,3,3,2,3,3,4,3,3,3,3,2,2,2,3,52,Older,4,4,3.4,3.2,4.2,3.6,2.8,3.2,2.4
35 - 44,Undergraduate (completed),Employed (private sector),Bangalore,Often (weekly),No / I am unsure,Urban metro city,4,4,4,3,3,3,3,3,3,2,5,5,4,4,4,2,3,3,2,3,4,5,4,4,4,3,3,3,3,3,4,4,4,4,4,39,Older,3,4,3.6,2.8,4.4,2.6,4.2,3,4
35 - 44,Undergraduate (completed),Employed (private sector),Bangalore,Rarely (a few times a year),"Yes, but inconsistently",Urban metro city,4,3,4,3,3,2,3,3,3,3,4,3,4,3,3,3,2,3,3,3,3,4,4,4,3,4,4,4,3,3,2,3,3,3,3,39,Older,3,2,3.4,2.8,3.4,2.8,3.6,3.6,2.8
35 - 44,Postgraduate,Homemaker,Pune,Sometimes (about once a month),"Yes, regularly",Urban metro city,3,3,3,4,3,3,4,3,4,3,3,5,4,4,4,3,3,3,4,3,4,4,4,4,3,3,3,3,4,4,3,4,4,4,4,39,Older,4,3,3.2,3.4,4,3.2,3.8,3.4,3.8
25 - 34,Undergraduate (completed),Homemaker,Mumbai,Sometimes (about once a month),"Yes, but inconsistently",Urban metro city,4,3,3,3,4,2,3,2,2,2,4,5,4,4,4,2,2,3,2,3,4,3,3,4,4,4,4,3,4,3,4,4,4,4,4,29,Older,3,3,3.4,2.2,4.2,2.4,3.6,3.6,4
25 - 34,Doctoral,Employed (private sector),Bengaluru (Marathahalli),Rarely (a few times a year),No / I am unsure,Urban metro city,4,4,4,4,4,3,4,3,3,3,4,4,4,3,4,3,3,3,2,3,4,4,3,3,3,3,3,4,3,4,2,3,2,4,2,29,Older,5,2,4,3.2,3.8,2.8,3.4,3.4,2.6
25 - 34,Postgraduate,Unemployed,Agra,Never,No / I am unsure,Semi-urban/town,2,2,2,2,2,2,2,2,3,3,3,3,3,4,3,3,2,2,3,2,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,29,Older,4,1,2,2.4,3.2,2.4,2,1.8,2.6
Above 60,Undergraduate (completed),Self-employed,Coimbatore,Sometimes (about once a month),"Yes, but inconsistently",Urban tier-2 city,1,1,1,1,1,2,2,2,1,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,3,2,1,2,2,2,1,2,2,2,2,65,Older,3,3,1,1.8,2.8,2,2.6,1.8,1.8
45 - 60,High school/10+2,Unemployed,Varanasi,Often (weekly),No / I am unsure,Semi-urban/town,3,3,3,3,3,3,3,4,3,3,5,4,5,5,5,2,2,2,2,2,4,3,4,4,4,3,3,3,3,3,4,5,4,4,4,52,Older,1,4,3,3.2,4.8,2,3.8,3,4.2
25 - 34,Postgraduate,Employed (private sector),Bengaluru,Rarely (a few times a year),"Yes, regularly",Urban metro city,5,5,4,5,5,3,3,3,3,3,4,4,4,3,3,3,3,3,2,3,5,3,4,4,4,3,3,3,3,4,3,3,3,4,3,29,Older,4,2,4.8,3,3.6,2.8,4,3.2,3.2
35 - 44,High school/10+2,Employed (government),Amritsar,Often (weekly),"Yes, but inconsistently",Urban tier-2 city,3,3,3,3,3,2,2,2,2,2,4,3,4,3,4,2,1,2,3,3,3,3,3,3,3,3,3,2,2,2,3,4,3,3,3,39,Older,1,4,3,2,3.6,2.2,3,2.4,3.2
35 - 44,Postgraduate,Employed (private sector),Bengaluru (Indiranagar),Often (weekly),"Yes, regularly",Urban metro city,4,4,4,3,4,3,3,3,3,3,5,4,5,5,5,4,5,4,4,4,4,3,4,4,3,3,3,3,3,4,3,4,3,3,3,39,Older,4,4,3.8,3,4.8,4.2,3.6,3.2,3.2
35 - 44,Postgraduate,Homemaker,Bengaluru (HSR Layout),Sometimes (about once a month),"Yes, regularly",Urban metro city,3,4,4,4,4,3,3,3,3,2,3,4,4,4,3,3,3,2,3,3,4,4,3,3,3,3,3,2,3,2,3,3,4,4,4,39,Older,4,3,3.8,2.8,3.6,2.8,3.4,2.6,3.6
45 - 60,Postgraduate,Unemployed,Bengaluru (HSR Layout),Always (daily),No / I am unsure,Urban metro city,4,3,4,4,4,3,3,4,4,4,5,5,5,5,5,2,3,2,3,2,3,4,3,4,3,3,3,3,3,3,4,4,3,4,4,52,Older,4,5,3.8,3.6,5,2.4,3.4,3,3.8
25 - 34,Doctoral,Employed (government),Hyderabad,Often (weekly),"Yes, but inconsistently",Urban metro city,4,4,4,4,4,5,4,4,4,4,3,4,3,4,3,2,2,3,2,2,4,4,4,4,4,5,4,5,5,4,5,5,5,5,4,29,Older,5,4,4,4.2,3.4,2.2,4,4.6,4.8
